"timestamp","event_id","event_name","user","client_ip","database","query","normalized_query","query_length","query_entropy","is_system_table","scan_efficiency","is_admin_command","is_risky_command","has_comment","execution_time_ms","lock_time_ms","cpu_time_ms","program_name","connector_name","client_os","source_host","rows_returned","rows_examined","rows_affected","error_code","error_message","error_count","has_error","warning_count","created_tmp_disk_tables","created_tmp_tables","select_full_join","select_scan","sort_merge_passes","no_index_used","no_good_index_used","connection_type","behavior_type","is_anomaly","query_complexity","generation_strategy"
"2025-12-01T05:39:07.283077","4","statement/sql/select","khuong_phuong_yen","10.0.0.174","inventory_db","SELECT/**/user(),/**/version(),/**/database()","SELECT SYSTEM_USER ( ) , `version` ( ) , SCHEMA ( )","45","4.1409","0","0.5","0","0","1","0.0002","0.0","0.0","python3","PyMySQL","Unknown","unknown","1","1","0","0","","0","0","0","0","0","0","0","0","0","0","unknown","VIEW_EXPENSE","1","high","malicious_template:sql_injection"
"2025-12-01T07:00:11.826611","4","statement/sql/select","duong_van_quang","192.168.25.212","support_db","SELECT * FROM support_tickets WHERE subject LIKE '%Lan%' LIMIT 20","SELECT * FROM `support_tickets` WHERE SUBJECT LIKE ? LIMIT ?","65","4.7355","0","0.0","0","0","0","0.0007","0.0","0.0","httpd","libmysql","Windows","CUSTOMER_SERVICE-143-LAPTOP","0","100","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","SEARCH_TICKET","0","SIMPLE","context_aware"
"2025-12-01T07:00:15.971804","4","statement/sql/select","dang_van_long","192.168.25.192","support_db","SELECT * FROM support_db.support_tickets WHERE subject LIKE '%%'","SELECT * FROM `support_db` . `support_tickets` WHERE SUBJECT LIKE ?","64","4.6933","0","0.990099","0","0","0","0.0008","0.0","0.0","ODBC","libmysql","Win64","CUSTOMER_SERVICE-726-LAPTOP","100","100","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","SEARCH_TICKET","0","SIMPLE","ai_generation"
"2025-12-01T07:00:25.051832","4","statement/sql/select","vu_ngoc_nga","192.168.25.68","support_db","SELECT * FROM sales_db.orders INNER JOIN support_db.support_tickets st ON sales_db.orders.customer_id = st.customer_id WHERE st.subject LIKE '%Lỗi trong quá trình giao dịch%' AND st.status = 'open'","SELECT * FROM `sales_db` . `orders` INNER JOIN `support_db` . `support_tickets` `st` ON `sales_db` . `orders` . `customer_id` = `st` . `customer_id` WHERE `st` . `subject` LIKE ? AND `st` . `status` = ?","197","4.9088","0","0.0","0","0","0","0.001","0.0","0.0","chrome","libmysql","Windows","CUSTOMER_SERVICE-304-LAPTOP","0","25","0","0","","0","0","0","0","0","0","0","0","0","0","unknown","SEARCH_TICKET","0","SIMPLE","ai_generation"
"2025-12-01T07:00:19.807577","4","statement/sql/select","doan_mai_xuan","192.168.25.115","support_db","SELECT * FROM support_tickets WHERE subject LIKE '%Linh%' LIMIT 10","SELECT * FROM `support_tickets` WHERE SUBJECT LIKE ? LIMIT ?","66","4.7467","0","0.0","0","0","0","0.0008","0.0","0.0","ODBC","libmysql","Windows","CUSTOMER_SERVICE-725-LAPTOP","0","100","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","SEARCH_TICKET","0","SIMPLE","context_aware"
"2025-12-01T07:01:18.453970","4","statement/sql/select","dang_van_long","192.168.25.192","support_db","-- status check
SELECT  *  FROM  support_tickets  LIMIT  10","SELECT * FROM `support_tickets` LIMIT ?","59","4.4016","0","0.909091","0","0","1","0.0006","0.0","0.0","ODBC","libmysql","Win64","CUSTOMER_SERVICE-726-LAPTOP","10","10","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","VIEW_TICKET","0","SIMPLE","context_aware"
"2025-12-01T07:00:28.176928","4","statement/sql/select","ta_minh_my","192.168.25.128","support_db","select  *  from  support_tickets  where  subject  =  'admin'  LIMIT  1","SELECT * FROM `support_tickets` WHERE SUBJECT = ? LIMIT ?","70","4.2195","0","0.0","0","0","0","0.0008","0.0","0.0","java","libmysql","Win64","CUSTOMER_SERVICE-663-PC","0","100","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","LOGIN","0","SIMPLE","context_aware"
"2025-12-01T07:01:32.096758","4","statement/sql/select","doan_mai_xuan","192.168.25.115","support_db","SELECT * FROM support_tickets WHERE subject LIKE '%Mai%' LIMIT 10","SELECT * FROM `support_tickets` WHERE SUBJECT LIKE ? LIMIT ?","65","4.7122","0","0.0","0","0","0","0.0009","0.0","0.0","ODBC","libmysql","Windows","CUSTOMER_SERVICE-725-LAPTOP","0","100","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","SEARCH_TICKET","0","SIMPLE","context_aware"
"2025-12-01T07:01:15.775194","4","statement/sql/select","duong_van_quang","192.168.25.212","support_db","/* audit */ select * from support_tickets LIMIT 10","SELECT * FROM `support_tickets` LIMIT ?","50","4.3264","0","0.909091","0","0","1","0.0005","0.0","0.0","httpd","libmysql","Windows","CUSTOMER_SERVICE-143-LAPTOP","10","10","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","VIEW_TICKET","0","SIMPLE","context_aware"
"2025-12-01T07:00:23.535633","4","statement/sql/select","cao_thanh_dat","192.168.25.228","sales_db","select * from customers LIMIT 5","SELECT * FROM `customers` LIMIT ?","31","3.8858","0","0.833333","0","0","0","0.0004","0.0","0.0","ODBC","libmysql","Windows","CUSTOMER_SERVICE-582-LAPTOP","5","5","0","0","","0","0","0","0","0","0","1","0","1","0","unknown","VIEW_CUSTOMER","0","SIMPLE","context_aware"
"2025-12-01T07:00:16.954565","4","statement/sql/create_view","kieu_quang_trung","192.168.25.26","sales_db","CREATE OR REPLACE VIEW VIEW_ORDER_DETAILS AS SELECT c.customer_id, c.company_name, c.contact_person FROM sales_db.customers AS c","CREATE OR REPLACE VIEW `VIEW_ORDER_DETAILS` AS SELECT `c` . `customer_id` , `c` . `company_name` , `c` . `contact_person` FROM `sales_db` . `customers` AS `c`","128","4.7989","0","0.0","0","0","0","0.0002","0.0","0.0","ODBC","libmysql","Windows","CUSTOMER_SERVICE-330-LAPTOP","0","0","0","1142","CREATE VIEW command denied to user 'kieu_quang_trung'@'192.168.25.26' for table 'view_order_details'","1","1","0","0","0","0","0","0","0","0","unknown","VIEW_CUSTOMER","0","SIMPLE","ai_generation"
